cluster	sc
1	518130
2	474675
3	684087
4	710301
5	581374
6	528358
7	676955
8	708603
9	481955
10	750596
11	447341
12	490765
13	683818
14	710301
15	515771
16	527157
17	562303
18	633244
19	481744
20	747302
21	562226
22	697891
23	650900
24	515771
25	510485
26	710301
27	605422
28	534821
29	562303
30	633244
31	393580
32	747302
33	507346
34	697891
35	222441
36	651768
37	515771
38	710240
39	571211
40	393580
41	605422
42	522893
43	562303
44	632375
45	44468
46	728072
47	507346
48	697891
49	218308
50	651768
51	564997
52	812190
53	569736
54	605422
55	522893
56	238523
57	507346
58	218308
59	556554
60	632267
61	34045
62	726931
63	450091
64	616421
65	141602
66	651768
67	564997
68	812190
69	582642
70	813072
71	701209
72	592560
73	488075
74	657070
75	734928
76	568170
77	642320
78	306215
79	588904
80	734852
81	689299
82	519099
83	559961
84	655100
85	615298
86	580263
87	304115
88	736770
89	735374
90	587290
91	608358
92	574418
93	539433
94	615035
95	564943
96	736456
97	580304
98	629517
99	345478
100	666974
101	608358
102	601544
103	566726
104	691435
105	753215
106	341079
107	616416
108	578779
109	571967
110	540770
111	690986
112	721421
113	320982
114	610360
115	579697
116	789279
117	766494
118	335958
119	632436
120	568178
121	558498
122	301895
123	563654
124	688802
125	576703
126	550688
127	506772
128	722323
129	800619
130	561140
131	357674
132	625038
133	567251
134	444373
135	197986
136	586641
137	561438
138	555022
139	340229
140	532454
