i	j	weight
1	2	424129
1	3	880017
1	4	777868
1	5	869237
1	6	605554
1	7	470508
1	8	651739
1	9	945675
1	10	492490
1	11	0
1	12	869237
1	13	880017
1	14	777868
1	15	382122
1	16	605554
1	17	470508
1	18	651739
1	19	945675
1	20	492490
1	21	0
1	22	426794
1	23	880017
1	24	382122
1	25	605554
1	26	777868
1	27	0
1	28	862947
1	29	470508
1	30	651739
1	31	945675
1	32	492490
1	33	0
1	34	426794
1	35	96817
1	36	752307
1	37	382122
1	38	777868
1	39	873068
1	40	945675
1	41	0
1	42	862947
1	43	470508
1	44	651739
1	45	663370
1	46	492490
1	47	0
1	48	426794
1	49	96817
1	50	752307
1	51	650814
1	52	576148
1	53	873068
1	54	0
1	55	862947
1	56	945675
1	57	0
1	58	96817
1	59	470508
1	60	651739
1	61	663370
1	62	492490
1	63	376490
1	64	426794
1	65	768488
1	66	752307
1	67	650814
1	68	576148
1	69	351938
1	70	544592
1	71	624365
1	72	704526
1	73	443806
1	74	880631
1	75	732767
1	76	0
1	77	455987
1	78	861121
1	79	599205
1	80	581362
1	81	640956
1	82	806277
1	83	0
1	84	880463
1	85	443067
1	86	457963
1	87	861121
1	88	580788
1	89	732702
1	90	599205
1	91	430184
1	92	0
1	93	797315
1	94	443067
1	95	0
1	96	580788
1	97	457975
1	98	754323
1	99	830133
1	100	882230
1	101	430184
1	102	599320
1	103	0
1	104	621439
1	105	732518
1	106	856230
1	107	443126
1	108	874813
1	109	0
1	110	796991
1	111	621631
1	112	503921
1	113	858339
1	114	430248
1	115	457975
1	116	618664
1	117	732611
1	118	768008
1	119	753541
1	120	0
1	121	646937
1	122	521508
1	123	795371
1	124	621528
1	125	0
1	126	647103
1	127	446456
1	128	503726
1	129	634861
1	130	457975
1	131	874526
1	132	764903
1	133	0
1	134	816860
1	135	897421
1	136	424881
1	137	598611
1	138	754317
1	139	752298
1	140	435267
2	3	491640
2	4	616147
2	5	347886
2	6	851561
2	7	832184
2	8	979791
2	9	429965
2	10	843173
2	11	459480
2	12	347886
2	13	491640
2	14	616147
2	15	0
2	16	851561
2	17	832184
2	18	979791
2	19	429965
2	20	843173
2	21	339858
2	22	0
2	23	491640
2	24	0
2	25	851561
2	26	616147
2	27	266154
2	28	323755
2	29	832184
2	30	979791
2	31	429965
2	32	843173
2	33	339858
2	34	0
2	35	426541
2	36	288066
2	37	0
2	38	616147
2	39	330948
2	40	429965
2	41	266154
2	42	323755
2	43	832184
2	44	979791
2	45	859056
2	46	843173
2	47	339858
2	48	0
2	49	426541
2	50	288066
2	51	415463
2	52	466892
2	53	330948
2	54	266154
2	55	323755
2	56	429965
2	57	339858
2	58	426541
2	59	832184
2	60	979791
2	61	859056
2	62	843173
2	63	0
2	64	0
2	65	499442
