cluster	sc
1	518130
2	474675
3	684087
4	710301
5	581374
6	528358
7	676955
8	708603
9	481955
10	750596
11	474675
12	447341
13	683818
14	710301
15	490765
16	528358
17	676955
18	708603
19	481744
20	750596
21	562226
22	447341
23	490765
24	683818
25	710301
26	515771
27	527157
28	562303
29	633244
30	481744
31	747302
32	562226
33	697891
34	490765
35	515771
36	681672
37	710301
38	605422
39	527157
40	562303
41	633244
42	393580
43	747302
44	521019
45	697891
46	222441
47	650900
48	515771
49	510485
50	710301
51	605422
52	534821
53	562303
54	633244
55	393580
56	747302
57	507346
58	697891
59	222441
60	651768
61	460771
62	515771
63	571356
64	710240
65	605422
66	523081
67	562303
68	632375
69	393580
70	728127
71	507346
72	697891
73	218308
74	651768
75	564997
76	515771
77	710240
78	571211
79	393580
80	605422
81	522893
82	562303
83	632375
84	44468
85	728072
86	507346
87	697891
88	218308
89	651768
90	564997
91	812190
92	710240
93	605422
94	571211
95	393580
96	507346
97	522893
98	562303
99	632375
100	34045
101	726931
102	450091
103	616421
104	218308
105	651768
106	564997
107	812190
108	582642
109	569736
110	605422
111	522893
112	238523
113	507346
114	218308
115	556554
116	632267
117	34045
118	726931
119	450091
120	616421
121	141602
122	651768
123	564997
124	812190
125	582642
126	813072
127	517739
128	605422
129	556554
130	204233
131	507346
132	148070
133	537927
134	632267
135	34045
136	726931
137	450091
138	616421
139	130376
140	651768
141	651456
142	812190
143	582642
144	813072
145	364282
