i	j	weight
1	2	424129
1	3	880017
1	4	777868
1	5	869237
1	6	605554
1	7	470508
1	8	651739
1	9	945675
1	10	492490
1	11	424129
1	12	0
1	13	880017
1	14	777868
1	15	869237
1	16	605554
1	17	470508
1	18	651739
1	19	945675
1	20	492490
1	21	0
1	22	0
1	23	869237
1	24	880017
1	25	777868
1	26	382122
1	27	605554
1	28	470508
1	29	651739
1	30	945675
1	31	492490
1	32	0
1	33	426794
1	34	869237
1	35	382122
1	36	880017
1	37	777868
1	38	0
1	39	605554
1	40	470508
1	41	651739
1	42	945675
1	43	492490
1	44	0
1	45	426794
1	46	96817
1	47	880017
1	48	382122
1	49	605554
1	50	777868
1	51	0
1	52	862947
1	53	470508
1	54	651739
1	55	945675
1	56	492490
1	57	0
1	58	426794
1	59	96817
1	60	752307
1	61	605554
1	62	382122
1	63	873068
1	64	777868
1	65	0
1	66	862947
1	67	470508
1	68	651739
1	69	945675
1	70	492490
1	71	0
1	72	426794
1	73	96817
1	74	752307
1	75	650814
1	76	382122
1	77	777868
1	78	873068
1	79	945675
1	80	0
1	81	862947
1	82	470508
1	83	651739
1	84	663370
1	85	492490
1	86	0
1	87	426794
1	88	96817
1	89	752307
1	90	650814
1	91	576148
1	92	777868
1	93	0
1	94	873068
1	95	945675
1	96	0
1	97	862947
1	98	470508
1	99	651739
1	100	663370
1	101	492490
1	102	376490
1	103	426794
1	104	96817
1	105	752307
1	106	650814
1	107	576148
1	108	351938
1	109	873068
1	110	0
1	111	862947
1	112	945675
1	113	0
1	114	96817
1	115	470508
1	116	651739
1	117	663370
1	118	492490
1	119	376490
1	120	426794
1	121	768488
1	122	752307
1	123	650814
1	124	576148
1	125	351938
1	126	544592
1	127	862947
1	128	0
1	129	470508
1	130	945675
1	131	0
1	132	96817
1	133	650814
1	134	651739
1	135	663370
1	136	492490
1	137	376490
1	138	426794
1	139	768488
1	140	752307
1	141	797882
1	142	576148
1	143	351938
1	144	544592
1	145	894668
2	3	491640
2	4	616147
2	5	347886
2	6	851561
2	7	832184
2	8	979791
2	9	429965
2	10	843173
2	11	0
2	12	459480
2	13	491640
2	14	616147
2	15	347886
2	16	851561
2	17	832184
2	18	979791
2	19	429965
2	20	843173
2	21	339858
2	22	459480
2	23	347886
2	24	491640
2	25	616147
2	26	0
2	27	851561
2	28	832184
2	29	979791
2	30	429965
2	31	843173
2	32	339858
2	33	0
2	34	347886
2	35	0
2	36	491640
2	37	616147
2	38	266154
2	39	851561
2	40	832184
2	41	979791
2	42	429965
2	43	843173
2	44	339858
2	45	0
2	46	426541
2	47	491640
2	48	0
2	49	851561
2	50	616147
2	51	266154
2	52	323755
2	53	832184
2	54	979791
2	55	429965
2	56	843173
2	57	339858
2	58	0
2	59	426541
2	60	288066
