cluster	sc
1	498771
2	615458
3	578015
4	600342
5	675121
6	727366
7	691108
8	607158
9	580648
10	326826
11	689298
12	568117
13	735373
14	655721
15	593272
16	736771
17	580263
18	615298
19	306102
20	588755
21	608358
22	608358
23	519099
24	735374
25	587290
26	559961
27	689299
28	580263
29	736770
30	304115
31	655100
32	574418
33	615298
34	565099
35	691494
36	665674
37	608358
38	303001
39	580261
40	736468
41	629517
42	735335
43	558995
44	615094
45	601744
46	539635
47	580304
48	539536
49	564942
50	736468
51	608358
52	691435
53	341500
54	753215
55	360876
56	601744
57	629517
58	665023
59	566725
60	615035
61	576724
62	616000
63	581077
64	721442
65	541235
66	758338
67	580137
68	312677
69	691872
70	608033
71	347229
72	572426
73	557510
74	625396
75	557767
76	691010
77	632727
78	563794
79	555295
80	616416
81	580417
82	721421
83	341500
84	610360
85	753148
86	301895
87	351285
88	570145
89	588730
90	789279
91	539272
92	540141
93	598125
94	588838
95	694202
96	570101
97	760313
98	610574
99	330765
100	546755
101	552902
102	721322
103	789549
104	301895
105	563895
106	475050
107	632436
108	329666
109	562336
110	572250
111	722382
112	556643
113	507795
114	540741
115	288825
116	779085
117	576697
118	690980
119	539675
120	329910
121	298859
122	789052
123	337806
124	584929
125	631860
126	601296
127	545342
128	572293
129	692212
130	632148
131	501630
132	552569
133	200051
134	722509
135	576707
136	796921
137	478044
138	789591
139	597624
140	349804
141	298771
142	578943
143	540207
144	547328
145	336597
