i	j	weight
1	2	530196
1	3	928466
1	4	997037
1	5	991222
1	6	948522
1	7	836195
1	8	543525
1	9	501896
1	10	940665
1	11	836261
1	12	928514
1	13	925411
1	14	0
1	15	960836
1	16	964013
1	17	501896
1	18	530196
1	19	940643
1	20	0
1	21	510907
1	22	510907
1	23	967179
1	24	925411
1	25	0
1	26	722836
1	27	836261
1	28	501896
1	29	964013
1	30	940643
1	31	0
1	32	855333
1	33	530196
1	34	749362
1	35	836314
1	36	0
1	37	510907
1	38	940643
1	39	501896
1	40	964013
1	41	630165
1	42	925411
1	43	722836
1	44	530196
1	45	0
1	46	793423
1	47	501895
1	48	793423
1	49	722627
1	50	964013
1	51	510907
1	52	836314
1	53	821379
1	54	925102
1	55	930573
1	56	0
1	57	630165
1	58	0
1	59	749313
1	60	530196
1	61	722338
1	62	530226
1	63	0
1	64	759074
1	65	868363
1	66	925121
1	67	501895
1	68	911732
1	69	763707
1	70	510907
1	71	873309
1	72	911768
1	73	0
1	74	630165
1	75	0
1	76	763765
1	77	629627
1	78	722627
1	79	0
1	80	530277
1	81	501895
1	82	759074
1	83	821379
1	84	510938
1	85	925102
1	86	849247
1	87	930573
1	88	911798
1	89	0
1	90	0
1	91	868363
1	92	868362
1	93	530226
1	94	0
1	95	763562
1	96	911798
1	97	924911
1	98	510938
1	99	932172
1	100	371485
1	101	0
1	102	759074
1	103	0
1	104	849247
1	105	722627
1	106	502092
1	107	629627
1	108	817876
1	109	501895
1	110	911768
1	111	758853
1	112	0
1	113	534508
1	114	872321
1	115	791664
1	116	710102
1	117	722338
1	118	763701
1	119	522353
1	120	663644
1	121	849247
1	122	0
1	123	875028
1	124	497470
1	125	629627
1	126	0
1	127	371485
1	128	911768
1	129	763628
1	130	629627
1	131	534748
1	132	0
1	133	891516
1	134	758853
1	135	722338
1	136	709276
1	137	502079
1	138	0
1	139	0
1	140	874751
1	141	849247
1	142	497509
1	143	870931
1	144	522341
1	145	668157
2	3	353658
2	4	438811
2	5	882331
2	6	651313
2	7	987358
2	8	985966
2	9	765816
2	10	498596
2	11	987347
2	12	353868
2	13	649973
2	14	526815
2	15	393182
2	16	878784
2	17	765816
2	18	0
2	19	496372
2	20	537134
2	21	985965
2	22	985965
2	23	392199
2	24	649973
2	25	537134
2	26	283113
2	27	987347
2	28	765816
2	29	878784
2	30	496372
2	31	526789
2	32	364816
2	33	0
2	34	346720
2	35	987327
2	36	520569
2	37	985965
2	38	496372
2	39	765816
2	40	878784
2	41	352420
2	42	649973
2	43	283113
2	44	0
2	45	533269
2	46	362540
2	47	765647
2	48	362540
2	49	282982
2	50	878784
2	51	985965
2	52	987327
2	53	485634
2	54	645058
2	55	512224
2	56	533269
2	57	352420
2	58	520569
2	59	346752
2	60	0
2	61	282844
2	62	0
2	63	381420
2	64	878668
2	65	363415
2	66	644265
2	67	765647
2	68	495016
2	69	987262
2	70	985965
2	71	442561
2	72	313349
2	73	533269
2	74	352420
2	75	479166
2	76	979741
2	77	352452
2	78	282982
2	79	479047
2	80	0
2	81	765647
2	82	878668
2	83	485634
2	84	985937
2	85	645058
2	86	572885
2	87	512224
2	88	313359
2	89	381539
2	90	521565
2	91	363481
2	92	363546
2	93	0
2	94	365262
2	95	987314
2	96	313359
2	97	642945
2	98	985937
2	99	516799
2	100	663984
2	101	479065
2	102	878668
2	103	521565
2	104	572885
2	105	282982
2	106	735388
2	107	352452
2	108	487944
2	109	765647
2	110	313349
2	111	878772
2	112	478974
2	113	0
2	114	363678
2	115	519946
2	116	640637
2	117	282844
2	118	987293
2	119	654979
2	120	458431
2	121	572885
2	122	521565
2	123	399071
2	124	0
2	125	352452
2	126	365487
2	127	663984
2	128	313349
2	129	987294
2	130	352452
2	131	0
2	132	478838
2	133	514105
2	134	878772
2	135	282844
2	136	635819
2	137	734707
2	138	521565
2	139	365407
2	140	396932
2	141	572885
2	142	0
2	143	363612
2	144	649575
2	145	416247
3	4	984587
3	5	481413
3	6	639447
3	7	533849
3	8	362480
3	9	374327
3	10	909047
3	11	533942
3	12	0
3	13	619038
3	14	927352
3	15	975348
3	16	454927
3	17	374327
3	18	353658
3	19	909351
3	20	517196
3	21	350041
3	22	350041
3	23	856061
3	24	619038
3	25	517196
3	26	0
3	27	533942
3	28	374327
3	29	454927
3	30	909351
3	31	793470
3	32	0
3	33	353658
3	34	0
3	35	514993
3	36	796723
3	37	350041
3	38	909351
3	39	374327
3	40	454927
3	41	632665
3	42	619038
3	43	0
3	44	353658
3	45	517387
3	46	849704
3	47	374341
3	48	849704
3	49	0
3	50	454927
3	51	350041
3	52	514993
3	53	637828
3	54	618767
3	55	801930
3	56	517387
3	57	632665
3	58	796723
3	59	0
3	60	353658
3	61	0
3	62	353685
3	63	924012
3	64	396149
