cluster	sc
1	447341
2	490765
3	683818
4	710301
5	515771
6	527157
7	562303
8	633244
9	481744
10	747302
11	562226
12	697891
13	490765
14	515771
15	681672
16	710301
17	605422
18	527157
19	562303
20	633244
21	393580
22	747302
23	521019
24	697891
25	222441
26	650900
27	515771
28	510485
29	710301
30	605422
31	534821
32	562303
33	633244
34	393580
35	747302
36	507346
37	697891
38	222441
39	651768
40	460771
41	515771
42	571356
43	710240
44	605422
45	523081
46	562303
47	632375
48	393580
49	728127
50	507346
51	697891
52	218308
53	651768
54	564997
55	515771
56	710240
57	571211
58	393580
59	605422
60	522893
61	562303
62	632375
63	44468
64	728072
65	507346
66	697891
67	218308
68	651768
69	564997
70	812190
71	689298
72	574444
73	656412
74	608358
75	518167
76	580263
77	559961
78	304067
79	735373
80	736767
81	587320
82	615298
83	608049
84	629517
85	690416
86	565099
87	665674
88	730033
89	736582
90	558995
91	310840
92	539635
93	601744
94	580610
95	616207
96	664886
97	616148
98	571956
99	690343
100	539401
101	580261
102	736581
103	335946
104	756022
105	608049
106	575098
107	601774
108	301350
109	629517
110	589218
111	607818
112	616965
113	624809
114	764338
115	563895
116	690990
117	570101
118	579817
119	558411
120	330339
121	721747
122	330807
123	549831
124	542561
125	580260
126	539680
127	691871
128	580041
129	574479
130	610574
131	755957
132	330450
133	721377
134	789279
135	572995
136	332892
137	615450
138	632727
139	301895
140	558102
