i	j	weight
1	2	842836
1	3	814174
1	4	558462
1	5	409532
1	6	766160
1	7	499804
1	8	682825
1	9	468717
1	10	815487
1	11	533313
1	12	596610
1	13	586339
1	14	863103
1	15	653685
1	16	499715
1	17	737039
1	18	766639
1	19	405755
1	20	505821
1	21	667150
1	22	810482
1	23	451865
1	24	766116
1	25	490764
1	26	718527
1	27	542866
1	28	0
1	29	472550
1	30	620160
2	3	275163
2	4	494156
2	5	233246
2	6	271380
2	7	626101
2	8	678630
2	9	392705
2	10	783489
2	11	302074
2	12	960736
2	13	399505
2	14	255270
2	15	357006
2	16	625425
2	17	281438
2	18	372092
2	19	226459
2	20	487402
2	21	0
2	22	0
2	23	449696
2	24	272649
2	25	245097
2	26	712690
2	27	283080
2	28	515701
2	29	424659
2	30	642767
3	4	875052
3	5	482793
3	6	834438
3	7	457125
3	8	730341
3	9	935294
3	10	443976
3	11	703718
3	12	322355
3	13	882602
3	14	585455
3	15	975887
3	16	446259
3	17	586626
3	18	954620
3	19	610600
3	20	822302
3	21	355802
3	22	362873
3	23	790498
3	24	740687
3	25	703613
3	26	477707
3	27	0
3	28	808103
3	29	906001
3	30	744468
4	5	465934
4	6	598129
4	7	877070
4	8	834830
4	9	919838
4	10	504503
4	11	559896
4	12	531591
4	13	732706
4	14	454263
4	15	751115
4	16	852930
4	17	454440
4	18	775171
4	19	501973
4	20	0
4	21	601763
4	22	447846
4	23	897858
4	24	555349
4	25	546250
4	26	660737
4	27	809433
4	28	532819
4	29	868081
4	30	834016
5	6	405163
5	7	306649
5	8	446873
5	9	491152
5	10	296538
5	11	970931
5	12	268871
5	13	885854
5	14	475957
5	15	341534
5	16	294311
5	17	479769
5	18	380720
5	19	0
5	20	477213
5	21	288710
5	22	293925
5	23	762776
5	24	540882
5	25	806423
5	26	312563
5	27	659554
5	28	359132
5	29	430630
5	30	398319
6	7	377945
6	8	625629
6	9	571580
6	10	412066
6	11	802847
6	12	338706
6	13	887522
6	14	804974
6	15	573013
6	16	359401
6	17	807511
6	18	727684
6	19	427098
6	20	559506
6	21	369613
6	22	398072
6	23	630695
6	24	0
6	25	699401
6	26	486160
6	27	736172
6	28	758052
6	29	536933
6	30	498696
7	8	833494
7	9	601245
7	10	538258
7	11	374353
7	12	755483
7	13	424107
7	14	314601
7	15	403219
7	16	0
7	17	314257
7	18	560191
7	19	326266
7	20	848170
7	21	766151
7	22	512005
7	23	545949
7	24	342501
7	25	335559
7	26	511424
7	27	427583
7	28	421950
7	29	634719
7	30	799293
8	9	588559
8	10	765051
8	11	570313
8	12	974006
8	13	632801
8	14	489193
8	15	826048
8	16	797145
8	17	489003
8	18	788277
8	19	449790
8	20	831326
8	21	814164
8	22	644096
8	23	681477
8	24	577316
8	25	493073
8	26	730844
8	27	746943
8	28	638832
8	29	594691
8	30	0
9	10	452695
9	11	495544
9	12	387177
9	13	913711
9	14	399653
9	15	603896
9	16	541349
