0,1,2,3,4,cluster,sc
0.0,5.1,3.5,1.4,0.2,2,0.8739505759506634
1.0,4.9,3.0,1.4,0.2,2,0.8466999820883281
2.0,4.7,3.2,1.3,0.2,2,0.8558210765644799
3.0,4.6,3.1,1.5,0.2,2,0.8372552794980616
4.0,5.0,3.6,1.4,0.2,2,0.8697580681817096
5.0,5.4,3.9,1.7,0.4,2,0.7846548652655375
6.0,4.6,3.4,1.4,0.3,2,0.8482656754995428
7.0,5.0,3.4,1.5,0.2,2,0.8762777830993987
8.0,4.4,2.9,1.4,0.2,2,0.7920569693272479
9.0,4.9,3.1,1.5,0.1,2,0.8561691891708998
10.0,5.4,3.7,1.5,0.2,2,0.8309490046544616
11.0,4.8,3.4,1.6,0.2,2,0.8617155925065081
12.0,4.8,3.0,1.4,0.1,2,0.8424590177858539
13.0,4.3,3.0,1.1,0.1,2,0.7833588972991381
14.0,5.8,4.0,1.2,0.2,2,0.7393708232670374
15.0,5.7,4.4,1.5,0.4,2,0.6870493341539441
16.0,5.4,3.9,1.3,0.4,2,0.8050741472531441
17.0,5.1,3.5,1.4,0.3,2,0.8724799990747228
18.0,5.7,3.8,1.7,0.3,2,0.7496550927580704
19.0,5.1,3.8,1.5,0.3,2,0.8448330481179764
20.0,5.4,3.4,1.7,0.2,2,0.8191530919078884
21.0,5.1,3.7,1.5,0.4,2,0.8505100873651741
22.0,4.6,3.6,1.0,0.2,2,0.8200025186536601
23.0,5.1,3.3,1.7,0.5,2,0.8290804634970441
24.0,4.8,3.4,1.9,0.2,2,0.8132055331991086
25.0,5.0,3.0,1.6,0.2,2,0.8342916346399956
26.0,5.0,3.4,1.6,0.4,2,0.8600096735830386
27.0,5.2,3.5,1.5,0.2,2,0.8654371281696953
28.0,5.2,3.4,1.4,0.2,2,0.8670582105432082
29.0,4.7,3.2,1.6,0.2,2,0.8483537438921406
30.0,4.8,3.1,1.6,0.2,2,0.8472547384466205
31.0,5.4,3.4,1.5,0.4,2,0.8302502827942313
32.0,5.2,4.1,1.5,0.1,2,0.7932499648460702
33.0,5.5,4.2,1.4,0.2,2,0.7568186870247735
34.0,4.9,3.1,1.5,0.1,2,0.8561691891708998
35.0,5.0,3.2,1.2,0.2,2,0.8577852962126677
36.0,5.5,3.5,1.3,0.2,2,0.8234247008370142
37.0,4.9,3.1,1.5,0.1,2,0.8561691891708998
38.0,4.4,3.0,1.3,0.2,2,0.8046376167897403
39.0,5.1,3.4,1.5,0.2,2,0.8733230373669789
40.0,5.0,3.5,1.3,0.3,2,0.8704898607741819
41.0,4.5,2.3,1.3,0.3,2,0.6972498614873078
42.0,4.4,3.2,1.3,0.2,2,0.8188108835268926
43.0,5.0,3.5,1.6,0.6,2,0.8315856797519775
44.0,5.1,3.8,1.9,0.4,2,0.7865369457925546
45.0,4.8,3.0,1.4,0.3,2,0.8415715245759907
46.0,5.1,3.8,1.6,0.2,2,0.8394254382736963
47.0,4.6,3.2,1.4,0.2,2,0.8476050425119139
48.0,5.3,3.7,1.5,0.2,2,0.84377706630667
49.0,5.0,3.3,1.4,0.2,2,0.8751675506105595
50.0,7.0,3.2,4.7,1.4,1,0.6539267720422508
51.0,6.4,3.2,4.5,1.5,1,0.672033686689972
52.0,6.9,3.1,4.9,1.5,1,0.6940920431997961
53.0,5.5,2.3,4.0,1.3,1,0.477584614521526
54.0,6.5,2.8,4.6,1.5,1,0.7008049458274181
55.0,5.7,2.8,4.5,1.3,1,0.6345442609060546
56.0,6.3,3.3,4.7,1.6,1,0.6931421060218398
57.0,4.9,2.4,3.3,1.0,1,-0.024239789272861488
58.0,6.6,2.9,4.6,1.3,1,0.6785365837605912
59.0,5.2,2.7,3.9,1.4,1,0.4038781332641529
60.0,5.0,2.0,3.5,1.0,1,0.13182728211797293
61.0,5.9,3.0,4.2,1.5,1,0.6088162301193608
62.0,6.0,2.2,4.0,1.0,1,0.4829634895660923
63.0,6.1,2.9,4.7,1.4,1,0.7033300883525582
64.0,5.6,2.9,3.6,1.3,1,0.33336419237395365
65.0,6.7,3.1,4.4,1.4,1,0.6431140875476024
66.0,5.6,3.0,4.5,1.5,1,0.6297714218183947
67.0,5.8,2.7,4.1,1.0,1,0.5166908470025302
68.0,6.2,2.2,4.5,1.5,1,0.6486860041262669
69.0,5.6,2.5,3.9,1.1,1,0.4432068015993974
70.0,5.9,3.2,4.8,1.8,1,0.6953021014647457
71.0,6.1,2.8,4.0,1.3,1,0.5569024494837718
