i,j,weight
1,2,83842
1,3,0
1,4,83842
1,5,0
1,6,0
1,7,83842
1,8,0
1,9,0
1,10,83842
1,11,0
1,12,0
1,13,52727
1,14,0
1,15,0
1,16,0
1,17,83517
1,18,52727
1,19,0
1,20,83578
1,21,78535
1,22,0
1,23,0
1,24,83842
1,25,0
1,26,0
1,27,83842
1,28,0
1,29,0
1,30,0
1,31,0
1,32,83842
1,33,0
1,34,52727
1,35,52727
1,36,0
1,37,83501
1,38,0
1,39,83564
1,40,0
2,3,81093
2,4,0
2,5,70203
2,6,70203
2,7,0
2,8,72165
2,9,77483
2,10,0
2,11,77483
2,12,72165
2,13,67937
2,14,68146
2,15,72165
2,16,77483
2,17,0
2,18,67937
2,19,68146
2,20,0
2,21,0
2,22,79760
2,23,80937
2,24,0
2,25,70893
2,26,68201
2,27,0
2,28,70138
2,29,77470
2,30,77229
2,31,67501
2,32,0
2,33,70974
2,34,67937
2,35,67937
2,36,77229
2,37,0
2,38,70974
2,39,0
2,40,67501
3,4,81093
3,5,93553
3,6,93553
3,7,81093
3,8,0
3,9,0
3,10,81093
3,11,0
3,12,0
3,13,85438
3,14,92218
3,15,0
3,16,0
3,17,80764
3,18,85438
3,19,92218
3,20,80721
3,21,74780
3,22,0
3,23,0
3,24,81093
3,25,91245
3,26,89495
3,27,81093
3,28,0
3,29,0
3,30,0
3,31,90255
3,32,81093
3,33,0
3,34,85438
3,35,85438
3,36,0
3,37,80750
3,38,0
3,39,80706
3,40,90255
4,5,70203
4,6,70203
4,7,0
4,8,72165
4,9,77483
4,10,0
4,11,77483
4,12,72165
4,13,67937
4,14,68146
4,15,72165
4,16,77483
4,17,0
4,18,67937
4,19,68146
4,20,0
4,21,0
4,22,79760
4,23,80937
4,24,0
4,25,70893
4,26,68201
4,27,0
4,28,70138
4,29,77470
4,30,77229
4,31,67501
4,32,0
4,33,70974
4,34,67937
4,35,67937
4,36,77229
4,37,0
4,38,70974
4,39,0
4,40,67501
5,6,0
5,7,70203
5,8,91822
5,9,81249
5,10,70203
5,11,81249
5,12,91822
5,13,0
5,14,0
5,15,91822
5,16,81249
5,17,69503
5,18,0
5,19,0
5,20,69930
5,21,79269
5,22,0
5,23,92457
5,24,70203
5,25,0
5,26,0
5,27,70203
5,28,83318
5,29,82019
5,30,80790
5,31,0
5,32,70203
5,33,89692
5,34,0
5,35,0
5,36,80790
5,37,69468
5,38,89692
5,39,69903
5,40,0
6,7,70203
6,8,91822
6,9,81249
6,10,70203
6,11,81249
6,12,91822
6,13,0
6,14,0
6,15,91822
6,16,81249
6,17,69503
6,18,0
6,19,0
6,20,69930
6,21,79269
6,22,0
6,23,92457
6,24,70203
6,25,0
6,26,0
6,27,70203
6,28,83318
6,29,82019
6,30,80790
6,31,0
6,32,70203
6,33,89692
6,34,0
6,35,0
6,36,80790
6,37,69468
6,38,89692
6,39,69903
6,40,0
7,8,72165
7,9,77483
7,10,0
7,11,77483
7,12,72165
7,13,67937
7,14,68146
7,15,72165
7,16,77483
7,17,0
7,18,67937
7,19,68146
7,20,0
7,21,0
7,22,79760
7,23,80937
7,24,0
7,25,70893
7,26,68201
7,27,0
7,28,70138
7,29,77470
7,30,77229
7,31,67501
7,32,0
7,33,70974
7,34,67937
7,35,67937
7,36,77229
7,37,0
7,38,70974
7,39,0
7,40,67501
8,9,91016
8,10,72165
8,11,91016
8,12,0
8,13,82514
8,14,89658
8,15,0
8,16,91016
8,17,71523
8,18,82514
8,19,89658
8,20,72033
8,21,84784
8,22,0
8,23,0
8,24,72165
8,25,88775
8,26,86803
8,27,72165
8,28,0
8,29,87259
8,30,90394
8,31,87002
8,32,72165
8,33,0
8,34,82514
8,35,82514
