0	1	2	3	4	cluster
0.0	5.1	3.5	1.4	0.2	2.0
1.0	4.9	3.0	1.4	0.2	0.0
2.0	4.7	3.2	1.3	0.2	0.0
3.0	4.6	3.1	1.5	0.2	0.0
4.0	5.0	3.6	1.4	0.2	2.0
5.0	5.4	3.9	1.7	0.4	2.0
6.0	4.6	3.4	1.4	0.3	0.0
7.0	5.0	3.4	1.5	0.2	2.0
8.0	4.4	2.9	1.4	0.2	0.0
9.0	4.9	3.1	1.5	0.1	0.0
10.0	5.4	3.7	1.5	0.2	2.0
11.0	4.8	3.4	1.6	0.2	0.0
12.0	4.8	3.0	1.4	0.1	0.0
13.0	4.3	3.0	1.1	0.1	0.0
14.0	5.8	4.0	1.2	0.2	2.0
15.0	5.7	4.4	1.5	0.4	2.0
16.0	5.4	3.9	1.3	0.4	2.0
17.0	5.1	3.5	1.4	0.3	2.0
18.0	5.7	3.8	1.7	0.3	2.0
19.0	5.1	3.8	1.5	0.3	2.0
20.0	5.4	3.4	1.7	0.2	2.0
21.0	5.1	3.7	1.5	0.4	2.0
22.0	4.6	3.6	1.0	0.2	0.0
23.0	5.1	3.3	1.7	0.5	2.0
24.0	4.8	3.4	1.9	0.2	0.0
25.0	5.0	3.0	1.6	0.2	0.0
26.0	5.0	3.4	1.6	0.4	2.0
27.0	5.2	3.5	1.5	0.2	2.0
28.0	5.2	3.4	1.4	0.2	2.0
29.0	4.7	3.2	1.6	0.2	0.0
30.0	4.8	3.1	1.6	0.2	0.0
31.0	5.4	3.4	1.5	0.4	2.0
32.0	5.2	4.1	1.5	0.1	2.0
33.0	5.5	4.2	1.4	0.2	2.0
34.0	4.9	3.1	1.5	0.1	0.0
35.0	5.0	3.2	1.2	0.2	0.0
36.0	5.5	3.5	1.3	0.2	2.0
37.0	4.9	3.1	1.5	0.1	0.0
38.0	4.4	3.0	1.3	0.2	0.0
39.0	5.1	3.4	1.5	0.2	2.0
40.0	5.0	3.5	1.3	0.3	2.0
41.0	4.5	2.3	1.3	0.3	0.0
42.0	4.4	3.2	1.3	0.2	0.0
43.0	5.0	3.5	1.6	0.6	2.0
44.0	5.1	3.8	1.9	0.4	2.0
45.0	4.8	3.0	1.4	0.3	0.0
46.0	5.1	3.8	1.6	0.2	2.0
47.0	4.6	3.2	1.4	0.2	0.0
48.0	5.3	3.7	1.5	0.2	2.0
49.0	5.0	3.3	1.4	0.2	0.0
50.0	7.0	3.2	4.7	1.4	1.0
51.0	6.4	3.2	4.5	1.5	1.0
52.0	6.9	3.1	4.9	1.5	1.0
53.0	5.5	2.3	4.0	1.3	5.0
54.0	6.5	2.8	4.6	1.5	1.0
55.0	5.7	2.8	4.5	1.3	5.0
